Date,T_Bill,Wilshire_5000,Russell_1000  ,Russell_2000_Value ,Russell_2000_Growth  ,Barclays_US_Bonds,Barclays_IG_Bonds ,Barclays_HY_Bonds,GSCI_Precious_Metals,EAFE_Intl_Index,FTSE_REIT_Index
20160831,0.0165,0.24876,0.13286,2.4852,1.06301,-0.44916,0.19575,2.09193,-4.0028,0.08387,-3.28165
20160930,0.0219,0.09992,0.07914,0.78819,1.43981,0.17075,-0.24768,0.6665,0.7261,1.27363,-1.40968
20161031,0.0168,-2.03129,-1.95001,-3.2868,-6.21448,-0.47849,-0.8136,0.38613,-3.79175,-2.03836,-4.89003
20161130,0.0136,4.55515,3.94236,13.27282,8.94691,-1.68027,-2.68267,-0.47473,-8.00437,-1.97971,-2.04123
20161230,0.0239,2.06061,1.87869,4.12946,1.36402,-0.02733,0.66921,1.8456,-1.97531,3.43833,4.20087
20170131,0.0358,1.77707,2.01086,-0.71379,1.62367,0.19943,0.30812,1.45241,5.51213,2.90637,0.24398
20170228,0.0364,3.72239,3.8708,1.44681,2.45208,0.2892,1.14701,1.4554,3.71389,1.44592,4.1609
20170331,0.0353,0.0456,0.06318,-0.84651,1.18449,0.04969,-0.23266,-0.22317,-0.5125,2.86733,-1.38727
20170428,0.0537,1.04992,1.05724,0.39371,1.84167,0.524,1.0687,1.15474,0.57078,2.61846,0.50728
20170531,0.0614,1.00197,1.27623,-3.11409,-0.90946,0.39303,1.1497,0.8696,0.4163,3.80735,-0.14684
20170630,0.0617,0.86914,0.69822,3.49827,3.44184,-0.26098,0.30573,0.13524,-2.77284,-0.14878,2.02823
20170731,0.0722,1.88131,1.98036,0.63269,0.85118,0.31888,0.7313,1.10748,1.89557,2.88985,1.19318
